Date,Sentiment_score,No_of_likes,No_of_comments,Count_of_tweets,Close,Volume,Target
2023-07-03,0.04577220077220077,223,20,37,2405.7919921875,6077193,2381.004638671875
2023-07-04,0.07388129414445203,15,9,19,2381.004638671875,4030821,2377.095703125
2023-07-05,0.07658685064935065,258,47,40,2377.095703125,5124031,2426.9921875
2023-07-06,0.09900392817059483,35,7,18,2426.9921875,9558993,2422.255615234375
2023-07-07,0.09007552924717559,1103,128,205,2422.255615234375,6687633,2515.564208984375
2023-07-10,0.08175814726643613,1178,38,82,2515.564208984375,16620008,2542.834716796875
2023-07-11,0.07158766152516152,1086,94,222,2542.834716796875,10034674,2545.639892578125
2023-07-12,0.08797476571746786,2397,180,213,2545.639892578125,9366917,2522.876220703125
2023-07-13,0.03637345679012346,539,12,18,2522.876220703125,7341467,2520.7607421875
2023-07-14,0.029737239822467097,494,25,88,2520.7607421875,7562072,2572.266845703125
2023-07-17,0.08669088468720822,148,9,34,2572.266845703125,11110020,2594.11083984375
2023-07-18,0.12513392857142858,239,12,20,2594.11083984375,12933656,2613.79345703125
2023-07-19,0.11049955200433922,6192,156,235,2613.79345703125,19561078,2610.628173828125
2023-07-20,0.02574386934125306,168,21,43,2610.628173828125,19358812,2529.8134765625
2023-07-21,0.0577865649140817,1144,141,149,2529.8134765625,15124619,2478.644287109375
2023-07-24,0.05669189735161957,1896,157,234,2478.644287109375,11863933,2477.050048828125
2023-07-25,-0.03770461309523809,60,6,32,2477.050048828125,6013010,2517.3076171875
2023-07-26,0.07011709811927963,150,12,31,2517.3076171875,6455506,2493.890380859375
2023-07-27,0.013700939523977327,853,23,86,2493.890380859375,8613449,2518.9521484375
2023-07-28,0.021835505962867884,173,30,86,2518.9521484375,10413926,2540.276611328125
2023-07-31,0.08862010540062865,723,54,129,2540.276611328125,4275587,2504.353515625
2023-08-01,0.02653810835629017,20,1,11,2504.353515625,4768316,2477.59814453125
2023-08-02,0.07403158793695142,598,95,141,2477.59814453125,6374107,2467.184814453125
