,Date,Sentiment_score,No_of_likes,No_of_comments,Count_of_tweets
0,2023-07-01,0.05218681318681319,83,9,13
1,2023-07-02,0.10342105263157896,40,10,19
2,2023-07-03,0.10062156880295979,55,25,38
3,2023-07-04,0.1286656746031746,267,35,56
4,2023-07-05,0.0935034355622591,53,15,34
5,2023-07-06,0.19016931216931218,62,17,24
6,2023-07-07,0.03770110544217688,94,16,28
7,2023-07-08,0.11,50,3,11
8,2023-07-09,0.14010416666666667,33,9,16
9,2023-07-10,0.03489768496249977,353,25,27
10,2023-07-11,0.08646205829054666,81,30,43
11,2023-07-12,0.03042967057919151,1710,104,265
12,2023-07-13,0.0399156667814756,3345,206,374
13,2023-07-14,0.07669309840448303,1484,161,317
14,2023-07-15,0.07597051278423828,698,149,51
15,2023-07-16,0.13729558434245934,136,18,37
16,2023-07-17,0.09186610917011731,1467,143,230
17,2023-07-18,0.11880530303030302,176,17,55
18,2023-07-19,0.02703098071519124,120,13,57
19,2023-07-20,0.05408355182350718,99,21,56
20,2023-07-21,0.0475441687142436,176,37,93
21,2023-07-22,0.06745756172839507,107,5,36
22,2023-07-23,0.15638461538461537,52,10,13
23,2023-07-24,0.1332355947429477,1199,36,102
24,2023-07-25,0.04321041176172755,94,15,76
25,2023-07-26,0.0041720593266985,68,29,97
26,2023-07-27,0.004224117507699597,49,7,67
27,2023-07-28,0.03917886904761905,81,7,75
28,2023-07-29,0.008705357142857145,18,9,28
29,2023-07-30,-0.08142361111111111,9,0,8
30,2023-07-31,0.08143232065553495,301,30,77
31,2023-08-01,-0.018751092657342656,137,6,26
32,2023-08-02,0.029632682132682133,521,13,26
33,2023-08-03,0.04608465608465608,12,1,14
34,2023-08-04,0.08194050433412135,89,14,47
35,2023-08-05,0.011542207792207788,85,14,14
36,2023-08-06,0.13319847067614923,383,35,28
37,2023-08-07,0.047169696969696966,135,25,50
38,2023-08-08,0.06373929773929773,113,26,42
39,2023-08-09,0.13855639730639732,59,9,30
40,2023-08-10,0.08438780824829932,100,11,42
41,2023-08-11,0.058059600332327606,63,13,44
42,2023-08-12,0.17943722943722942,14,5,9
43,2023-08-13,0.23507034632034632,11,5,12
44,2023-08-14,0.11559027777777778,93,15,20
45,2023-08-15,0.12531565656565655,9,1,6
46,2023-08-16,0.10142529950669486,170,28,43
47,2023-08-17,0.01794027228809838,25,5,23
48,2023-08-18,0.099561707706869,50,13,31
49,2023-08-19,0.1725566188197767,22,5,19
50,2023-08-20,0.2820397856112142,28,10,14
51,2023-08-21,-0.0052236229482323275,41,6,24
52,2023-08-22,0.14316188197767143,26,9,19
53,2023-08-23,0.11873675175399313,110,9,29
54,2023-08-24,0.11023851965028435,41,6,17
55,2023-08-25,0.1505218855218855,31,6,21
56,2023-08-26,0.15195436507936508,6,2,15
57,2023-08-27,0.07976325757575756,20,6,8
58,2023-08-28,0.014703856749311288,15,3,11
59,2023-08-29,0.03737631416202843,27,4,14
60,2023-08-30,0.17824134199134198,48,8,20
61,2023-08-31,0.10792317585795846,113,18,23
62,2023-09-01,0.1097306043629573,235,30,34
63,2023-09-02,0.1802819157966217,113,20,34
64,2023-09-03,0.1743615749330035,1419,132,35
65,2023-09-04,0.09161326508554135,3339,233,257
66,2023-09-05,0.11045736708824942,653,54,85
67,2023-09-06,0.13501157407407408,164,9,34
68,2023-09-07,0.00705537518037518,29,5,28
69,2023-09-08,0.08277921341696852,328,19,49
70,2023-09-09,0.02834845049130763,27,4,21
71,2023-09-10,0.05604761904761904,98,14,25
72,2023-09-11,0.18558503401360543,72,19,35
73,2023-09-12,0.15400411427197142,1698,99,56
74,2023-09-13,0.09393453317966305,3338,346,99
75,2023-09-14,0.07131912777615902,383,26,96
76,2023-09-15,0.0905042895472583,357,41,48
77,2023-09-16,0.11111925708699903,221,26,31
78,2023-09-17,0.08939183501683501,176,10,36
79,2023-09-18,0.1738744870580808,248,10,32
80,2023-09-19,0.2216060606060606,10,5,15
81,2023-09-20,0.24926212767495662,55,4,19
82,2023-09-21,0.0780334740095014,349,29,73
83,2023-09-22,0.09092698394292782,2158,153,147
84,2023-09-23,0.11002005347593583,120,9,17
85,2023-09-24,0.10525446775446776,16,5,13
86,2023-09-25,0.13110223665223664,392,28,50
87,2023-09-26,0.03521879021879022,129,17,37
88,2023-09-27,0.07211163505806363,135,16,42
89,2023-09-28,0.1115979816966659,204,13,38
90,2023-09-29,0.10943446640269433,230,24,42
91,2023-09-30,0.029855283605283608,10,0,13
92,2023-10-01,0.04210542929292929,19,6,8
93,2023-10-02,0.020441176470588237,11,4,17
94,2023-10-03,0.11288072796066984,169,35,43
95,2023-10-04,0.14537429690490916,296,17,49
96,2023-10-05,0.14165941886396433,922,75,55
97,2023-10-06,0.09617135315664728,50,5,17
98,2023-10-07,0.13068518518518518,268,37,15
99,2023-10-08,0.04098095238095238,76,12,25
100,2023-10-09,0.11543191839025171,329,12,30
101,2023-10-10,0.10583928571428572,23,6,20
102,2023-10-11,0.09489567540991592,175,18,79
103,2023-10-12,0.11466806722689077,74,11,51
104,2023-10-13,0.028935846560846565,1142,101,30
105,2023-10-14,0.0,0,3,2
106,2023-10-15,0.12121212121212123,18,1,11
107,2023-10-16,0.10023122987117553,14,4,23
108,2023-10-17,0.09090976731601733,101,14,40
109,2023-10-18,0.049561718374218376,1893,200,304
110,2023-10-19,0.05981961125158027,2380,140,226
111,2023-10-20,0.12182050569947395,1099,26,63
112,2023-10-21,0.11940972222222221,289,13,20
113,2023-10-22,0.24103009259259262,3,4,8
114,2023-10-23,0.026542015903718033,137,17,47
115,2023-10-24,0.028148148148148144,18,7,9
116,2023-10-25,0.004970760233918128,81,17,38
117,2023-10-26,0.1098333297965651,200,6,34
118,2023-10-27,0.010119047619047618,236,28,36
119,2023-10-28,0.12467532467532468,15,2,11
120,2023-10-29,0.07915313852813853,90,8,11
121,2023-10-30,0.11191358024691357,47,5,27
122,2023-10-31,0.06529670047031158,1637,113,18
123,2023-11-01,0.0647089947089947,26,17,18
124,2023-11-02,0.2107121212121212,61,11,25
125,2023-11-03,0.08778596623834718,176,16,21
126,2023-11-04,0.07435666185666186,2,2,9
127,2023-11-05,0.18901515151515152,32,7,8
128,2023-11-06,0.08092093717093717,183,17,37
129,2023-11-07,0.017691061558986088,226,18,53
130,2023-11-08,0.023058254402239364,32,7,19
131,2023-11-09,0.17889092851592853,36,1,25
132,2023-11-10,0.08437905092592593,1008,41,16
133,2023-11-11,0.08309523809523808,235,15,8
134,2023-11-12,0.08877551020408163,21,4,7
135,2023-11-13,0.12518518518518518,25,2,15
136,2023-11-14,0.10976266571969698,31,5,16
137,2023-11-15,0.04376611078315624,972,43,44
138,2023-11-16,0.11642394179894179,57,10,36
139,2023-11-17,0.13653149801587303,45,4,32
140,2023-11-18,0.0,3,0,1
141,2023-11-19,0.22875,29,3,8
142,2023-11-20,0.0659090909090909,50,6,27
143,2023-11-21,0.03240754483611627,354,24,35
144,2023-11-22,0.011698146882357409,312,20,57
145,2023-11-23,0.1255282988616322,36,8,27
146,2023-11-24,0.06944444444444443,7,7,14
147,2023-11-25,0.04635416666666667,6,0,8
148,2023-11-26,-0.04602974186307518,37,2,9
149,2023-11-27,0.1709090909090909,19,2,5
150,2023-11-28,0.08652266714766715,44,9,36
151,2023-11-29,0.12059305997985244,132,12,53
152,2023-11-30,0.022533735033735038,133,19,37
153,2023-12-01,0.10776892299619573,48,8,33
154,2023-12-02,0.020000000000000007,11,0,2
155,2023-12-03,0.008333333333333331,52,2,9
156,2023-12-04,0.08734037909963836,29,8,27
157,2023-12-05,0.0033333333333333327,60,2,10
158,2023-12-06,0.1130233843537415,298,28,84
159,2023-12-07,0.029066754501537114,73,4,23
160,2023-12-08,0.09654392199604966,323,25,47
161,2023-12-09,0.14543539431582908,45,2,23
162,2023-12-10,0.0708371212121212,143,11,20
163,2023-12-11,0.09488855184167683,477,27,52
164,2023-12-12,0.09311839942870645,133,17,57
165,2023-12-13,0.08888218631116358,44,9,44
166,2023-12-14,0.12902909504878685,1276,63,73
167,2023-12-15,0.11516767022465552,1721,171,204
168,2023-12-16,0.09001384283035421,433,68,69
169,2023-12-17,0.12644322445419692,1756,177,83
170,2023-12-18,0.08309895232082733,924,154,160
171,2023-12-19,0.09226119867367603,298,37,46
172,2023-12-20,0.07042190065681445,1374,79,58
173,2023-12-21,0.043125,63,7,20
174,2023-12-22,0.1570380957078223,4067,381,320
175,2023-12-23,0.12535761019283748,1563,130,165
176,2023-12-24,0.07458689016975534,995,71,89
177,2023-12-25,0.10490864109848483,836,91,80
178,2023-12-26,0.1123421717171717,72,14,24
179,2023-12-27,0.050139831405411464,863,43,149
180,2023-12-29,0.06026563273387229,150,8,38
181,2023-12-30,0.1487973484848485,40,4,16
182,2023-12-31,0.1555400782013685,190,17,31
183,2024-01-01,0.1396836395312005,285,22,41
184,2024-01-02,0.07626124548362921,66,10,43
185,2024-01-03,0.05337183134824645,102,10,53
