Date,Sentiment_score,No_of_likes,No_of_comments,Count_of_tweets,Close,Volume
2023-07-03,0.10062156880295979,55,25,38,390.7666320800781,4518462
2023-07-04,0.1286656746031746,267,35,56,395.1073913574219,6308617
2023-07-05,0.0935034355622591,53,15,34,393.0617370605469,6183479
2023-07-06,0.19016931216931218,62,17,24,395.3568420410156,4518621
2023-07-07,0.03770110544217688,94,16,28,395.0075988769531,4532610
2023-07-10,0.03489768496249977,353,25,27,389.1201477050781,2815200
2023-07-11,0.08646205829054666,81,30,43,391.2156677246094,4817419
2023-07-12,0.03042967057919151,1710,104,265,391.01611328125,3424110
2023-07-13,0.0399156667814756,3345,206,374,393.46087646484375,6797863
2023-07-14,0.07669309840448303,1484,161,317,404.18798828125,15683392
2023-07-17,0.09186610917011731,1467,143,230,414.3663024902344,22879930
2023-07-18,0.11880530303030302,176,17,55,416.3121643066406,8884513
2023-07-19,0.02703098071519124,120,13,57,417.0605773925781,5415495
2023-07-20,0.05408355182350718,99,21,56,416.76116943359375,4127855
2023-07-21,0.0475441687142436,176,37,93,403.8387451171875,11757106
2023-07-24,0.1332355947429477,1199,36,102,403.19012451171875,3404230
2023-07-25,0.04321041176172755,94,15,76,399.5478820800781,3229100
2023-07-26,0.0041720593266985,68,29,97,401.89288330078125,2664831
2023-07-27,0.004224117507699597,49,7,67,399.098876953125,4474179
2023-07-28,0.03917886904761905,81,7,75,397.9013977050781,3380030
2023-07-31,0.08143232065553495,301,30,77,404.18798828125,3381090
2023-08-01,-0.018751092657342656,137,6,26,406.083984375,3590902
2023-08-02,0.029632682132682133,521,13,26,401.9427795410156,2699809
2023-08-03,0.04608465608465608,12,1,14,398.79949951171875,3410849
2023-08-04,0.08194050433412135,89,14,47,407.97991943359375,6240770
2023-08-07,0.047169696969696966,135,25,50,410.2750244140625,4411433
2023-08-08,0.06373929773929773,113,26,42,415.4639587402344,7862142
2023-08-09,0.13855639730639732,59,9,30,416.9108581542969,4654694
2023-08-10,0.08438780824829932,100,11,42,417.7590637207031,4950822
2023-08-11,0.058059600332327606,63,13,44,412.17095947265625,3785734
2023-08-14,0.11559027777777778,93,15,20,414.2665100097656,2896090
2023-08-16,0.10142529950669486,170,28,43,417.7590637207031,4065890
2023-08-17,0.01794027228809838,25,5,23,416.661376953125,3170480
2023-08-18,0.099561707706869,50,13,31,410.8238525390625,5301196
2023-08-21,-0.0052236229482323275,41,6,24,413.7176818847656,3667130
2023-08-22,0.14316188197767143,26,9,19,416.2123718261719,3175120
2023-08-23,0.11873675175399313,110,9,29,414.3663024902344,3067117
2023-08-24,0.11023851965028435,41,6,17,411.8217468261719,2888478
2023-08-25,0.1505218855218855,31,6,21,408.828125,3299255
2023-08-28,0.014703856749311288,15,3,11,407.1816101074219,1700987
2023-08-29,0.03737631416202843,27,4,14,407.23150634765625,1999281
2023-08-30,0.17824134199134198,48,8,20,406.33343505859375,2009091
2023-08-31,0.10792317585795846,113,18,23,407.5308532714844,11030976
2023-09-01,0.1097306043629573,235,30,34,415.4639587402344,4238065
2023-09-04,0.09161326508554135,3339,233,257,433.1761779785156,13817324
2023-09-05,0.11045736708824942,653,54,85,430.93096923828125,8986713
2023-09-06,0.13501157407407408,164,9,34,428.3863830566406,6765956
2023-09-07,0.00705537518037518,29,5,28,431.9288330078125,4661325
2023-09-08,0.08277921341696852,328,19,49,429.08489990234375,2874205
2023-09-11,0.18558503401360543,72,19,35,433.9245910644531,4126657
2023-09-12,0.15400411427197142,1698,99,56,434.07427978515625,7272664
2023-09-13,0.09393453317966305,3338,346,99,434.7727966308594,3722835
2023-09-14,0.07131912777615902,383,26,96,435.52117919921875,7447505
2023-09-15,0.0905042895472583,357,41,48,440.11138916015625,9917938
2023-09-18,0.1738744870580808,248,10,32,435.17193603515625,3012598
2023-09-20,0.24926212767495662,55,4,19,429.1846923828125,4551350
2023-09-21,0.0780334740095014,349,29,73,428.0371398925781,4446535
2023-09-22,0.09092698394292782,2158,153,147,417.609375,9909130
2023-09-25,0.13110223665223664,392,28,50,413.21875,4650566
2023-09-26,0.03521879021879022,129,17,37,412.02130126953125,3240283
2023-09-27,0.07211163505806363,135,16,42,414.76544189453125,3886997
2023-09-28,0.1115979816966659,204,13,38,404.48736572265625,8438058
2023-09-29,0.10943446640269433,230,24,42,405.18585205078125,6390136
2023-10-03,0.11288072796066984,169,35,43,404.587158203125,2864052
2023-10-04,0.14537429690490916,296,17,49,404.038330078125,3452935
2023-10-05,0.14165941886396433,922,75,55,405.93426513671875,4062652
2023-10-06,0.09617135315664728,50,5,17,406.9820556640625,3182502
2023-10-09,0.11543191839025171,329,12,30,404.7368469238281,3015225
2023-10-10,0.10583928571428572,23,6,20,406.88226318359375,2564007
2023-10-11,0.09489567540991592,175,18,79,420.25372314453125,9546114
