,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/AnchanAnkit/status/1703489271930540403#m,#Reliance Jio is set to introduce its wireless internet solution called Jio AirFiber on September 19.,"Sep 17, 2023 · 7:21 PM UTC",0,0
1,https://twitter.com/cppluxury/status/1703483725131010242#m,Major international luxury brands to open stores in Mumbai’s new luxury mall  https://cpp-luxury.com/major-international-luxury-brands-to-open-stores-in-mumbais-new-luxury-mall/ #India #IndiaLuxury #luxury #luxurybusiness #luxurymarket #luxurygoods #luxurysector #luxurybrands #expansion #Mumbai #JioWorldPlaza #Reliance #LVMH.  .,"Sep 17, 2023 · 6:59 PM UTC",1,0
2,https://twitter.com/idolWorshipper1/status/1703479321959247932#m,What abt #Reliance Jio innovation on 5G telecom in India and abroad?,"Sep 17, 2023 · 6:41 PM UTC",0,0
3,https://twitter.com/shariqueniazi/status/1703463679902015972#m,1)  C  - British  2)  A -  American  3)  B -   Italian #OnlyVimalGiveaway #OnlyVimal #Reliance #RelianceIndustries #MensFashion @OnlyVimal_India @nishatniazi @shuriahniazi @nitin,"Sep 17, 2023 · 5:39 PM UTC",0,0
4,https://twitter.com/dastakindialive/status/1703461833678664152#m,"Jio AirFiber 19 सितंबर को होगा लॉन्च, जानें क्या है इसकी खासियत #JioFiber #JioAirFiber #Reliance https://www.dastakindia.com/2023/09/17/jio-airfiber-will-be-launched-on-september-19/","Sep 17, 2023 · 5:32 PM UTC",1,0
5,https://twitter.com/tanosiisupi_bot/status/1703457537272480174#m,"The more you trust your life, the more the conditions that was given to your Life become the consequence to act on a plus.  人生を信頼するほど、人生に与えられた条件がプラスにはたらく展開となります。 #reliance #GraceOfGod #gratitude #UnconditionalLove","Sep 17, 2023 · 5:15 PM UTC",2,0
6,https://twitter.com/AlgoBoffin/status/1703457172494160310#m,"#Reliance  What If ... ... ... ... ... ... ... ... ... ... ... ...  (Whatever immediately comes to mind, fill in the blank)  ...","Sep 17, 2023 · 5:13 PM UTC",62,34
7,https://twitter.com/YogeshArora2409/status/1703447271302701426#m,Check out my #RELIANCE analysis on @TradingView: https://www.tradingview.com/chart/RELIANCE/WFufefrR-RIL-Bat-pattern-is-in-making/,"Sep 17, 2023 · 4:34 PM UTC",0,0
8,https://twitter.com/MasterSizzler/status/1703444236782403623#m,Keep an eye on the Reliance industry  for this month 🚀  #Reliance #jio #relianceindustry #TradingView #trading #sharemarket #analysis #Trades #bullspread #bullish,"Sep 17, 2023 · 4:22 PM UTC",0,0
9,https://twitter.com/sabarnadas13/status/1703429438065828301#m,"#Reliance @reliancegroup Very bad condition of fasion factory by reliance Newtown, Kolkata. AC is not working from last 3 months (From employees). During this festive season how people can try clothesPicture for reference. Few fan is there in the floor and people are sweating.","Sep 17, 2023 · 3:23 PM UTC",0,0
